seed,sim_gens,min_K,max_K,period,init_K,init_dec,init_corin,init_ednrb,init_opt,final_opt,fitness_width,lambda,replicate
4134114540825,80,500,5000,9,2750,F,0.01,0.25,0.13,0.876,0.5446,15,11
4605136305690,80,500,5000,9,2750,F,0.01,0.25,0.13,0.876,0.5446,15,12
4070994295332,80,500,5000,9,2750,F,0.01,0.25,0.13,0.876,0.5446,15,13
3973593892841,80,500,5000,9,2750,F,0.01,0.25,0.13,0.876,0.5446,15,14
4801582385773,80,500,5000,9,2750,F,0.01,0.25,0.13,0.876,0.5446,15,15
3809552912429,80,500,5000,9,2750,F,0.01,0.25,0.13,0.876,0.5446,15,16
2036766272822,80,500,5000,9,2750,F,0.01,0.25,0.13,0.876,0.5446,15,17
7895083835979,80,500,5000,9,2750,F,0.01,0.25,0.13,0.876,0.5446,15,18
2606566121558,80,500,5000,9,2750,F,0.01,0.25,0.13,0.876,0.5446,15,19
4129784525999,80,500,5000,9,2750,F,0.01,0.25,0.13,0.876,0.5446,15,2
7829143148607,80,500,5000,9,2750,F,0.01,0.25,0.13,0.876,0.5446,15,20
3734602486488,80,500,5000,9,2750,F,0.01,0.25,0.13,0.876,0.5446,15,21
