seed,sim_gens,init_corin,init_ednrb,init_opt,final_opt,fitness_width,lambda,replicate
3176285316793,80,0,0.01,0.13,0.876,0.7805,4,23
4322185045721,80,0,0.01,0.13,0.876,0.7805,4,24
1663924788396,80,0,0.01,0.13,0.876,0.7805,4,25
4362595366233,80,0,0.01,0.13,0.876,0.7805,4,26
3610666396340,80,0,0.01,0.13,0.876,0.7805,4,27
2982454650985,80,0,0.01,0.13,0.876,0.7805,4,28
7141154818880,80,0,0.01,0.13,0.876,0.7805,4,29
2945764538601,80,0,0.01,0.13,0.876,0.7805,4,3
2929594497803,80,0,0.01,0.13,0.876,0.7805,4,30
7151544861952,80,0,0.01,0.13,0.876,0.7805,4,4
7116694644404,80,0,0.01,0.13,0.876,0.7805,4,5
1650384549757,80,0,0.01,0.13,0.876,0.7805,4,6
7664076283274,80,0,0.01,0.13,0.876,0.7805,4,7
2956474569630,80,0,0.01,0.13,0.876,0.7805,4,8
4365085388434,80,0,0.01,0.13,0.876,0.7805,4,9
2920734468833,80,0,0.05,0.13,0.876,0.5446,15,1
3168705293386,80,0,0.05,0.13,0.876,0.5446,15,10
3054974911097,80,0,0.05,0.13,0.876,0.5446,15,11
1804186334267,80,0,0.05,0.13,0.876,0.5446,15,12
2971424616094,80,0,0.05,0.13,0.876,0.5446,15,13
7200115113390,80,0,0.05,0.13,0.876,0.5446,15,14
7679096367102,80,0,0.05,0.13,0.876,0.5446,15,15
3038534854848,80,0,0.05,0.13,0.876,0.5446,15,16
4761566230687,80,0,0.05,0.13,0.876,0.5446,15,17
2983884655625,80,0,0.05,0.13,0.876,0.5446,15,18
3004874740567,80,0,0.05,0.13,0.876,0.5446,15,19
4341115200177,80,0,0.05,0.13,0.876,0.5446,15,2
3550576158169,80,0,0.05,0.13,0.876,0.5446,15,20
3570306241013,80,0,0.05,0.13,0.876,0.5446,15,21
4273064559736,80,0,0.05,0.13,0.876,0.5446,15,22
3605746380246,80,0,0.05,0.13,0.876,0.5446,15,23
1653264595420,80,0,0.05,0.13,0.876,0.5446,15,24
4270434543744,80,0,0.05,0.13,0.876,0.5446,15,25
3574886260619,80,0,0.05,0.13,0.876,0.5446,15,26
3183545343416,80,0,0.05,0.13,0.876,0.5446,15,27
3056704913254,80,0,0.05,0.13,0.876,0.5446,15,28
7094594567521,80,0,0.05,0.13,0.876,0.5446,15,29
4359105340194,80,0,0.05,0.13,0.876,0.5446,15,3
7155254888550,80,0,0.05,0.13,0.876,0.5446,15,30
1646734478393,80,0,0.05,0.13,0.876,0.5446,15,4
7194705088244,80,0,0.05,0.13,0.876,0.5446,15,5
7138484797374,80,0,0.05,0.13,0.876,0.5446,15,6
3193835377348,80,0,0.05,0.13,0.876,0.5446,15,7
4301314817790,80,0,0.05,0.13,0.876,0.5446,15,8
3581166290268,80,0,0.05,0.13,0.876,0.5446,15,9
1807136377508,80,0,0.05,0.13,0.876,0.5446,4,1
7155474888985,80,0,0.05,0.13,0.876,0.5446,4,10
3155835248555,80,0,0.05,0.13,0.876,0.5446,4,11
2931004499683,80,0,0.05,0.13,0.876,0.5446,4,12
3548706154470,80,0,0.05,0.13,0.876,0.5446,4,13
3110925092989,80,0,0.05,0.13,0.876,0.5446,4,14
4261674473996,80,0,0.05,0.13,0.876,0.5446,4,15
3174425308210,80,0,0.05,0.13,0.876,0.5446,4,16
7100914586617,80,0,0.05,0.13,0.876,0.5446,4,17
7634326051060,80,0,0.05,0.13,0.876,0.5446,4,18
2696605413269,80,0,0.05,0.13,0.876,0.5446,4,19
3069054956095,80,0,0.05,0.13,0.876,0.5446,4,2
2972184617657,80,0,0.05,0.13,0.876,0.5446,4,20
7092374561412,80,0,0.05,0.13,0.876,0.5446,4,21
7661846265428,80,0,0.05,0.13,0.876,0.5446,4,22
4263734482623,80,0,0.05,0.13,0.876,0.5446,4,23
7648916193640,80,0,0.05,0.13,0.876,0.5446,4,24
7659586258058,80,0,0.05,0.13,0.876,0.5446,4,25
7086694541563,80,0,0.05,0.13,0.876,0.5446,4,26
3031874836518,80,0,0.05,0.13,0.876,0.5446,4,27
7231445251951,80,0,0.05,0.13,0.876,0.5446,4,28
7656296240493,80,0,0.05,0.13,0.876,0.5446,4,29
3033454838514,80,0,0.05,0.13,0.876,0.5446,4,3
1682565294341,80,0,0.05,0.13,0.876,0.5446,4,30
7679006367094,80,0,0.05,0.13,0.876,0.5446,4,4
1676535120482,80,0,0.05,0.13,0.876,0.5446,4,5
7257435383990,80,0,0.05,0.13,0.876,0.5446,4,6
3020534801944,80,0,0.05,0.13,0.876,0.5446,4,7
7250095349816,80,0,0.05,0.13,0.876,0.5446,4,8
4269374529628,80,0,0.05,0.13,0.876,0.5446,4,9
2473695731424,80,0,0.05,0.13,0.876,0.6562,15,1
7167534933798,80,0,0.05,0.13,0.876,0.6562,15,10
3164515279344,80,0,0.05,0.13,0.876,0.6562,15,11
4287994665823,80,0,0.05,0.13,0.876,0.6562,15,12
7666636303374,80,0,0.05,0.13,0.876,0.6562,15,13
1661974741802,80,0,0.05,0.13,0.876,0.6562,15,14
2998594716175,80,0,0.05,0.13,0.876,0.6562,15,15
