seed,sim_gens,init_corin,init_opt,final_opt,fitness_width,lambda,replicate
3748912556983,80,0.01,0.13,0.876,0.7805,4,27
3763692649158,80,0.01,0.13,0.876,0.7805,4,28
7824913114123,80,0.01,0.13,0.876,0.7805,4,29
4968615464874,80,0.01,0.13,0.876,0.7805,4,3
8148575171919,80,0.01,0.13,0.876,0.7805,4,30
7851713446664,80,0.01,0.13,0.876,0.7805,4,4
4325195289955,80,0.01,0.13,0.876,0.7805,4,5
8063284735822,80,0.01,0.13,0.876,0.7805,4,6
8139815127545,80,0.01,0.13,0.876,0.7805,4,7
4863704303357,80,0.01,0.13,0.876,0.7805,4,8
3913973589008,80,0.01,0.13,0.876,0.7805,4,9
3950013776379,80,0.05,0.13,0.876,0.5446,15,1
4777225762802,80,0.05,0.13,0.876,0.5446,15,10
3913953589005,80,0.05,0.13,0.876,0.5446,15,11
4360695426859,80,0.05,0.13,0.876,0.5446,15,12
3781572760847,80,0.05,0.13,0.876,0.5446,15,13
7722192173602,80,0.05,0.13,0.876,0.5446,15,14
4002704037763,80,0.05,0.13,0.876,0.5446,15,15
4050524208870,80,0.05,0.13,0.876,0.5446,15,16
4968605464873,80,0.05,0.13,0.876,0.5446,15,17
7728232240597,80,0.05,0.13,0.876,0.5446,15,18
8146285163042,80,0.05,0.13,0.876,0.5446,15,19
7832253193700,80,0.05,0.13,0.876,0.5446,15,2
4075544312762,80,0.05,0.13,0.876,0.5446,15,20
3983573944193,80,0.05,0.13,0.876,0.5446,15,21
3788492797022,80,0.05,0.13,0.876,0.5446,15,22
8022574546684,80,0.05,0.13,0.876,0.5446,15,23
8004734460036,80,0.05,0.13,0.876,0.5446,15,24
4777195762728,80,0.05,0.13,0.876,0.5446,15,25
8133535095947,80,0.05,0.13,0.876,0.5446,15,26
4922884964935,80,0.05,0.13,0.876,0.5446,15,27
8117835029121,80,0.05,0.13,0.876,0.5446,15,28
1910185222953,80,0.05,0.13,0.876,0.5446,15,29
3910943570105,80,0.05,0.13,0.876,0.5446,15,3
3819032979830,80,0.05,0.13,0.876,0.5446,15,30
1914915367272,80,0.05,0.13,0.876,0.5446,15,4
3869103295610,80,0.05,0.13,0.876,0.5446,15,5
3680212177770,80,0.05,0.13,0.876,0.5446,15,6
3811762930926,80,0.05,0.13,0.876,0.5446,15,7
4815156040412,80,0.05,0.13,0.876,0.5446,15,8
4966515441085,80,0.05,0.13,0.876,0.5446,15,9
4300835190931,80,0.05,0.13,0.876,0.5446,4,1
3913683587653,80,0.05,0.13,0.876,0.5446,4,10
4776855761297,80,0.05,0.13,0.876,0.5446,4,11
3980783928367,80,0.05,0.13,0.876,0.5446,4,12
2955106114112,80,0.05,0.13,0.876,0.5446,4,13
2599125986743,80,0.05,0.13,0.876,0.5446,4,14
4344345362724,80,0.05,0.13,0.876,0.5446,4,15
8075844810188,80,0.05,0.13,0.876,0.5446,4,16
7915263970444,80,0.05,0.13,0.876,0.5446,4,17
4800025934818,80,0.05,0.13,0.876,0.5446,4,18
7876043695476,80,0.05,0.13,0.876,0.5446,4,19
4791295880422,80,0.05,0.13,0.876,0.5446,4,2
8056544703431,80,0.05,0.13,0.876,0.5446,4,20
4358365414418,80,0.05,0.13,0.876,0.5446,4,21
4762035657394,80,0.05,0.13,0.876,0.5446,4,22
8095644913228,80,0.05,0.13,0.876,0.5446,4,23
8122995051109,80,0.05,0.13,0.876,0.5446,4,24
3888933431973,80,0.05,0.13,0.876,0.5446,4,25
7902423887728,80,0.05,0.13,0.876,0.5446,4,26
8013304497673,80,0.05,0.13,0.876,0.5446,4,27
4876154427605,80,0.05,0.13,0.876,0.5446,4,28
3926083656145,80,0.05,0.13,0.876,0.5446,4,29
4535835747224,80,0.05,0.13,0.876,0.5446,4,3
8223925557822,80,0.05,0.13,0.876,0.5446,4,30
4002674037738,80,0.05,0.13,0.876,0.5446,4,4
1967945901818,80,0.05,0.13,0.876,0.5446,4,5
4415965983892,80,0.05,0.13,0.876,0.5446,4,6
4981965617739,80,0.05,0.13,0.876,0.5446,4,7
7708302048912,80,0.05,0.13,0.876,0.5446,4,8
7917013986866,80,0.05,0.13,0.876,0.5446,4,9
2020476187106,80,0.05,0.13,0.876,0.6562,15,1
7973674291304,80,0.05,0.13,0.876,0.6562,15,10
4194024766362,80,0.05,0.13,0.876,0.6562,15,11
7722252174732,80,0.05,0.13,0.876,0.6562,15,12
4228144908885,80,0.05,0.13,0.876,0.6562,15,13
