"catalognumber","decimallatitude","decimallongitude","roundlat","roundlon"
"16858534",51.0747402826,-114.1314956773,51.07474,-114.1315
"16784007",51.0766361667,-114.1280361667,51.07664,-114.12804
"16773088",51.0932032889,-114.1411807744,51.0932,-114.14118
"1543277",51.05011,-114.08529,51.05011,-114.08529
"14140822",37.5791696,-106.1480842,37.57917,-106.14808
"12179254",46.8389205933,-96.860496521,46.83892,-96.8605
"8845136",51.0812335546,-114.151400551,51.08123,-114.1514
"8811480",51.0861994391,-114.1357988119,51.0862,-114.1358
"16755916",51.0801231185,-114.1303395107,51.08012,-114.13034
"16751814",51.0763321259,-114.1296883208,51.07633,-114.12969
"16737668",51.1051715867,-114.1588332877,51.10517,-114.15883
"16737111",51.0852508545,-114.1404495239,51.08525,-114.14045
"16708294",51.0185305,-114.218605,51.01853,-114.2186
"16704968",51.0773855119,-114.130727202,51.07739,-114.13073
"16702973",51.0851777778,-114.1400222222,51.08518,-114.14002
"16692222",51.0836775997,-114.1397651285,51.08368,-114.13977
"16691963",51.0851251363,-114.1404990479,51.08513,-114.1405
"16692008",51.0853416667,-114.1403277778,51.08534,-114.14033
"16678866",51.1081251057,-114.0588434601,51.10813,-114.05884
"16645304",51.0748702707,-114.1317723535,51.07487,-114.13177
"16603734",51.1401778333,-114.1737966667,51.14018,-114.1738
"16551424",51.0746846,-114.1343054,51.07468,-114.13431
"16535025",51.1713460459,-114.1854876512,51.17135,-114.18549
"16525601",51.1337487048,-114.0930376947,51.13375,-114.09304
"16518245",51.0767909093,-114.131125901,51.07679,-114.13113
"16506007",51.0772102034,-114.1316615045,51.07721,-114.13166
"16471140",51.0737102605,-114.1311261447,51.07371,-114.13113
"16468589",51.0272973713,-114.1050169988,51.0273,-114.10502
"16459955",53.5207964505,-113.6042515503,53.5208,-113.60425
"16459570",53.5212646604,-113.6042421832,53.52126,-113.60424
"16439468",51.0733457136,-114.1313607348,51.07335,-114.13136
"15479161",52.1321372802,-106.6331899649,52.13214,-106.63319
"15405645",37.5270794787,-118.1980645718,37.52708,-118.19806
"15098573",53.5357713694,-113.4783689561,53.53577,-113.47837
"15098544",53.5805992836,-113.3728012993,53.5806,-113.3728
"15069759",49.166422915,-107.519325626,49.16642,-107.51933
"15064145",52.1367543865,-106.6331291199,52.13675,-106.63313
"14374012",52.126975008,-106.633935459,52.12698,-106.63394
"14431780",49.1177133333,-100.9446516667,49.11771,-100.94465
"14191431",41.1590488695,-111.0801203098,41.15905,-111.08012
"9882395",50.43865325,-104.61450125,50.43865,-104.6145
"13902043",45.201535,-112.1585116667,45.20154,-112.15851
"13850418",50.7260333333,-113.9652416667,50.72603,-113.96524
"12871571",40.6843596073,-104.3584871281,40.68436,-104.35849
"13220260",48.8468689538,-95.3383081168,48.84687,-95.33831
"12946782",40.6360160085,-111.3178096502,40.63602,-111.31781
"12691772",49.802696228,-97.1428375244,49.8027,-97.14284
"12232177",46.8402723134,-96.8609438847,46.84027,-96.86094
"12177834",46.8390666667,-96.8605633333,46.83907,-96.86056
"12165299",50.4749984741,-104.6433334351,50.475,-104.64333
"11879032",39.255,-103.272,39.255,-103.272
"9357068",44.977831541,-110.6995953619,44.97783,-110.6996
"11149574",46.8268194444,-100.7375638889,46.82682,-100.73756
"9236686",50.463725,-104.6091388889,50.46372,-104.60914
"9084181",51.1270916667,-113.9313966667,51.12709,-113.9314
"9084165",51.1270833333,-113.9308383333,51.12708,-113.93084
"9077684",51.0816682856,-114.1496366635,51.08167,-114.14964
"9024215",51.0784945,-114.1328138333,51.07849,-114.13281
