iteration,K,pop_size,desired_h2,p_corin,p_ednrb,Va,Ve,Vp,obs_h2
1,2750,2750,0.64,0.703273,0.576182,6.47959,3.64477,9.8392,0.658548
1,2750,2750,0.64,0.703273,0.576182,6.31608,3.5528,9.49996,0.664853
1,2750,2750,0.64,0.703273,0.576182,6.29367,3.54019,9.73997,0.646169
1,2750,2750,0.64,0.703273,0.576182,6.31616,3.55284,9.79754,0.644668
1,2750,2750,0.64,0.703273,0.576182,6.55946,3.6897,10.3388,0.634449
1,2750,2750,0.64,0.703273,0.576182,6.40003,3.60002,9.83621,0.65066
1,2750,2750,0.64,0.703273,0.576182,6.25339,3.51753,9.94138,0.629027
1,2750,2750,0.64,0.703273,0.576182,6.27551,3.52997,10.0364,0.625274
1,2750,2750,0.64,0.703273,0.576182,6.13719,3.45217,9.38525,0.653918
1,2750,2750,0.64,0.703273,0.576182,6.49904,3.65571,10.2366,0.634883
1,2750,2750,0.64,0.703273,0.576182,6.38251,3.59016,10.381,0.614829
1,2750,2750,0.64,0.703273,0.576182,6.3068,3.54757,9.90489,0.636736
1,2750,2750,0.64,0.703273,0.576182,6.34496,3.56904,9.7231,0.652566
1,2750,2750,0.64,0.703273,0.576182,6.51258,3.66333,10.0599,0.647378
1,2750,2750,0.64,0.703273,0.576182,6.2094,3.49279,9.90137,0.627125
1,2750,2750,0.64,0.703273,0.576182,6.27346,3.52882,9.62346,0.651893
1,2750,2750,0.64,0.703273,0.576182,6.32001,3.555,9.8922,0.638888
1,2750,2750,0.64,0.703273,0.576182,6.47725,3.64345,9.90826,0.653722
1,2750,2750,0.64,0.703273,0.576182,6.32337,3.5569,9.56361,0.661191
1,2750,2750,0.64,0.703273,0.576182,6.30069,3.54414,9.5795,0.657726
1,2750,2750,0.64,0.703273,0.576182,6.47011,3.63944,10.2482,0.631341
1,2750,2750,0.64,0.703273,0.576182,6.7636,3.80452,10.7854,0.627105
1,2750,2750,0.64,0.703273,0.576182,6.58655,3.70494,10.1659,0.647905
1,2750,2750,0.64,0.703273,0.576182,6.11779,3.44126,9.32235,0.656249
1,2750,2750,0.64,0.703273,0.576182,6.54325,3.68058,10.1921,0.641989
1,2750,2750,0.64,0.703273,0.576182,6.22306,3.50047,10.0467,0.619411
1,2750,2750,0.64,0.703273,0.576182,6.34696,3.57016,9.93347,0.638947
1,2750,2750,0.64,0.703273,0.576182,6.21426,3.49552,9.34587,0.664921
1,2750,2750,0.64,0.703273,0.576182,6.36305,3.57922,10.0819,0.631134
1,2750,2750,0.64,0.703273,0.576182,6.57068,3.69601,10.3842,0.632756
1,2750,2750,0.64,0.703273,0.576182,6.3768,3.58695,10.1829,0.626229
1,2750,2750,0.64,0.703273,0.576182,6.31801,3.55388,10.0878,0.626303
